bin,n,bad,good,bad_rate,good_pct,bad_pct,woe,iv_part,var
"02: (1.0, 2.0]",38806,5418,33388,0.13961758490955006,0.23805568428933016,0.24281873179475688,-0.019810591374265392,9.435878782622289e-05,num_tl_op_past_12m
"03: (2.0, 3.0]",28055,4408,23647,0.1571199429691677,0.16860361484439057,0.1975576966166256,-0.15848019074974617,0.004588648402247555,num_tl_op_past_12m
"04: (3.0, 4.0]",15674,2746,12928,0.17519458976649227,0.09217853195964493,0.12307864665023527,-0.28909629333710146,0.008933108620740983,num_tl_op_past_12m
"05: (4.0, inf]",10386,1977,8409,0.1903523974581167,0.05995864675056148,0.08861752184629174,-0.39067449778431146,0.01119629163508773,num_tl_op_past_12m
"00: (-inf, 0.0714285714285714]",16425,1709,14716,0.10404870624048707,0.10492674057965848,0.076607663006946,0.3145652868822092,0.008908198760899835,loan_to_income
"01: (0.0714285714285714, 0.1]",16207,1921,14286,0.1185290306657617,0.10186089622473352,0.08610799910374188,0.16800580808758195,0.002646578210532743,loan_to_income
"02: (0.1, 0.12815482766852573]",16139,1946,14193,0.12057748311543466,0.10119781825959859,0.08722832175666592,0.14854812895207722,0.0020751425679132332,loan_to_income
"03: (0.12815482766852573, 0.1538461538461538]",16390,2012,14378,0.12275777913361806,0.1025168443192756,0.0901859735603854,0.1281532086876909,0.0015802406536650022,loan_to_income
"04: (0.1538461538461538, 0.1813471502590673]",16126,2068,14058,0.12824010914051842,0.10023528572956401,0.09269549630293525,0.07820039182888133,0.000589614487469626,loan_to_income
"05: (0.1813471502590673, 0.2105263157894736]",16445,2118,14327,0.12879294618425052,0.10215322091904032,0.09493614160878333,0.07326938004928861,0.0005287909268290769,loan_to_income
"06: (0.2105263157894736, 0.2461538461538461]",16082,2176,13906,0.13530655391120508,0.099151545399451,0.0975352901635671,0.016435178412804556,2.656344316238129e-05,loan_to_income
"07: (0.2461538461538461, 0.2909090909090909]",16288,2412,13876,0.1480844793713163,0.09893764928166554,0.10811113600717007,-0.08866988864364803,0.0008134120464244696,loan_to_income
"08: (0.2909090909090909, 0.350737176841975]",16211,2848,13363,0.17568317808895195,0.09528002566753413,0.12764956307416536,-0.2924685264016321,0.009467070905619945,loan_to_income
"09: (0.350737176841975, inf]",16257,3105,13152,0.1909946484591253,0.09377562297244305,0.13916647994622452,-0.39476597470438546,0.017918765895922197,loan_to_income
"00: (-inf, 0.02867650443769676]",16257,1595,14662,0.0981115827028357,0.10454172756764464,0.07149899170961237,0.3799029509334427,0.012553032859380742,installment_to_income
"01: (0.02867650443769676, 0.040428]",16295,1838,14457,0.11279533599263578,0.10308010409611065,0.08238852789603406,0.2240601929810566,0.0046361585564714,installment_to_income
"02: (0.040428, 0.06129]",32479,3783,28696,0.11647526093783675,0.20460233146768386,0.16954963029352454,0.18792256064697938,0.006587193362241399,installment_to_income
"03: (0.06129, 0.0838533333333333]",32517,4191,28326,0.12888642863732816,0.20196427934832983,0.1878332959892449,0.07253600085813167,0.0010250050210608296,installment_to_income
"04: (0.0838533333333333, 0.098202]",16365,2242,14123,0.1369996944699053,0.10069872731809917,0.10049294196728657,0.0020456654423797963,4.209679807053414e-07,installment_to_income
"05: (0.098202, 0.1166165274725274]",16143,2334,13809,0.14458279130273183,0.09845994795194467,0.10461572933004705,-0.06064407062116528,0.00037331164062209495,installment_to_income
"06: (0.1166165274725274, 0.14313753260869566]",16257,2910,13347,0.17899981546410776,0.09516594773804855,0.130427963253417,-0.3151988826474389,0.011114547890340784,installment_to_income
"07: (0.14313753260869566, inf]",16257,3422,12835,0.2104939410715384,0.09151545399451,0.15337217118530136,-0.5163596049463747,0.03194031005191665,installment_to_income
MORTGAGE,76326,8550,67776,0.11201949532269476,0.4832376742362126,0.3831727537530809,0.23202267011344976,0.023217330035186248,home_ownership
OTHER,1,0,1,0.0,1.069480588927311e-05,2.2406453058480843e-05,-0.7395908076418802,8.661826588691088e-06,home_ownership
OWN,16493,2380,14113,0.14430364397016918,0.1006274286121707,0.10667712301142729,-0.05838185982963331,0.00035319241042951617,home_ownership
RENT,69750,11385,58365,0.16322580645161291,0.41613846208691313,0.5102173425946672,-0.2038187504506056,0.019175039868882277,home_ownership
Not Verified,59289,6857,52432,0.11565383123344972,0.37383693985954153,0.30730450369706475,0.1959805879325016,0.01303906595570383,verification_status
Source Verified,60750,8749,52001,0.1440164609053498,0.37076396563402375,0.3920905220703563,-0.055927087870423726,0.0011927321957883198,verification_status
Verified,42531,6709,35822,0.15774376337259882,0.255409789312324,0.3006721935917544,-0.16315134126024447,0.007384621966852499,verification_status
